"VIEWNAME","ITM_NAME","CDL_NAME","CODE","DECODE","update_stamp"
"ALL","EVENT_ID","EVENT_ID","BL","Baseline/Visit 1","2013-07-09 11:28:44.0"
"ALL","EVENT_ID","EVENT_ID","CONSENT","CONSENT","2013-07-09 11:28:44.0"
"ALL","EVENT_ID","EVENT_ID","CTCCONLY","CTCC Only","2013-07-09 11:28:44.0"
"ALL","EVENT_ID","EVENT_ID","FNL","Final Visit","2013-07-09 11:28:44.0"
"ALL","EVENT_ID","EVENT_ID","LOG","Log","2013-07-09 11:28:44.0"
"ALL","EVENT_ID","EVENT_ID","T01","Telephone Visit1","2013-07-09 11:28:44.0"
"ALL","EVENT_ID","EVENT_ID","U01","Unexpected Event - U01","2013-07-09 11:28:44.0"
"ALL","EVENT_ID","EVENT_ID","V02","Visit 2","2013-07-09 11:28:44.0"
"LONI_AE","AEFLUP","YN","0","No","2013-07-09 11:28:44.0"
"LONI_AE","AEFLUP","YN","1","Yes","2013-07-09 11:28:44.0"
"LONI_AE","AEOUTCOM","AEOUTCOM","1","recovered","2013-07-09 11:28:44.0"
"LONI_AE","AEOUTCOM","AEOUTCOM","2","under treatment / observation","2013-07-09 11:28:44.0"
"LONI_AE","AEOUTCOM","AEOUTCOM","3","change in AE characteristic","2013-07-09 11:28:44.0"
"LONI_AE","AEOUTCOM","AEOUTCOM","4","sequelae","2013-07-09 11:28:44.0"
"LONI_AE","AEOUTCOM","AEOUTCOM","5","fatal","2013-07-09 11:28:44.0"
"LONI_AE","AEOUTCOM","AEOUTCOM","6","unknown","2013-07-09 11:28:44.0"
"LONI_AE","AERELAT","AERELAT","1","unrelated","2013-07-09 11:28:44.0"
"LONI_AE","AERELAT","AERELAT","2","unlikely","2013-07-09 11:28:44.0"
"LONI_AE","AERELAT","AERELAT","3","possible","2013-07-09 11:28:44.0"
"LONI_AE","AERELAT","AERELAT","4","probable","2013-07-09 11:28:44.0"
"LONI_AE","AERELAT","AERELAT","5","definite","2013-07-09 11:28:44.0"
"LONI_AE","AESEVER","AESERV","1","mild","2013-07-09 11:28:44.0"
"LONI_AE","AESEVER","AESERV","2","moderate","2013-07-09 11:28:44.0"
"LONI_AE","AESEVER","AESERV","3","severe","2013-07-09 11:28:44.0"
"LONI_AE","PWDTAE","YES","Y","Yes","2013-07-09 11:28:44.0"
"LONI_AE","RELLP","YN","0","No","2013-07-09 11:28:44.0"
"LONI_AE","RELLP","YN","1","Yes","2013-07-09 11:28:44.0"
"LONI_AE","RELPRCDR","YN","0","No","2013-07-09 11:28:44.0"
"LONI_AE","RELPRCDR","YN","1","Yes","2013-07-09 11:28:44.0"
"LONI_AE","SAE","YN","0","No","2013-07-09 11:28:44.0"
"LONI_AE","SAE","YN","1","Yes","2013-07-09 11:28:44.0"
"LONI_AE","STARTEST","DATEEST","ACT","Actual date","2013-07-09 11:28:44.0"
"LONI_AE","STARTEST","DATEEST","DAY","Day estimated","2013-07-09 11:28:44.0"
"LONI_AE","STARTEST","DATEEST","MD","Month and Day estimated","2013-07-09 11:28:44.0"
"LONI_AE","STARTEST","DATEEST","MON","Month estimated","2013-07-09 11:28:44.0"
"LONI_AE","STOPEST","DATEEST","ACT","Actual date","2013-07-09 11:28:44.0"
"LONI_AE","STOPEST","DATEEST","DAY","Day estimated","2013-07-09 11:28:44.0"
"LONI_AE","STOPEST","DATEEST","MD","Month and Day estimated","2013-07-09 11:28:44.0"
"LONI_AE","STOPEST","DATEEST","MON","Month estimated","2013-07-09 11:28:44.0"
"LONI_CLINLAB","BLDLAB","LABP","0","Not Collected","2013-07-09 11:28:44.0"
"LONI_CLINLAB","BLDLAB","LABP","1","Collected","2013-07-09 11:28:44.0"
"LONI_CLINLAB","BLDLAB","LABP","2","Partial Collection","2013-07-09 11:28:44.0"
"LONI_CLINLAB","BLDLAB","LABP","3","Not Required","2013-07-09 11:28:44.0"
"LONI_CLINLAB","LABRSLT","LABRSLT","1","Normal","2013-07-09 11:28:44.0"
"LONI_CLINLAB","LABRSLT","LABRSLT","2","Abnormal, not clinically significant","2013-07-09 11:28:44.0"
"LONI_CLINLAB","LABRSLT","LABRSLT","3","Abnormal, clinically significant","2013-07-09 11:28:44.0"
"LONI_CONCL","COMPLT","COMPLT","1","Subject completed study per protocol","2013-07-09 11:28:44.0"
"LONI_CONCL","COMPLT","COMPLT","2","Discontinue before conlusion","2013-07-09 11:28:44.0"
"LONI_CONCL","COMPLT","COMPLT","3","Completed due to early conclusion","2013-07-09 11:28:44.0"
